id,morsel_id,project,agent_id,provider,tier,pid,prompt,dispatched_at,completed_at,status,exit_code,duration_s,retries,escalated_from_tier,session_name,input_tokens,output_tokens,cost_usd,failure_category,failure_summary,log_path,branch,backend,stage,pr_url,pr_number,workflow,labels,next_retry_at
1696,chum-zdt-1,chum,claude,codex-spark,temporal,0,"","2026-02-21 04:09:08","2026-02-21 04:09:08",completed,0,8782.800749505,0,"","",42,13487,0.0,"","","","",temporal,dispatched,"",0,,"",
1697,chum-zdt-2,chum,codex,codex-spark,temporal,0,"","2026-02-21 05:11:24","2026-02-21 05:11:24",escalated,1,1403.273309939,0,"","",901749,22249,0.0,"","","","",temporal,dispatched,"",0,,"",
1698,chum-zdt-2,chum,codex,codex-spark,temporal,0,"","2026-02-21 05:20:34","2026-02-21 05:20:34",completed,0,513.398975491,0,"","",774304,7383,0.0,"","","","",temporal,dispatched,"",0,,"",
1699,chum-td03,chum,claude,codex-spark,temporal,0,"","2026-02-21 05:58:50","2026-02-21 05:58:50",completed,0,290.045384487,0,"","",25,9306,0.0,"","","","",temporal,dispatched,"",0,,"",
1700,chum-td02,chum,claude,codex-spark,temporal,0,"","2026-02-21 06:24:11","2026-02-21 06:24:11",escalated,1,1810.182695533,0,"","",837771,37097,0.0,"","","","",temporal,dispatched,"",0,,"",
1701,chum-td01,chum,claude,codex-spark,temporal,0,"","2026-02-21 06:27:01","2026-02-21 06:27:01",completed,0,1620.35042928,0,"","",10401,5561,0.0,"","","","",temporal,dispatched,"",0,,"",
1702,chum-td02,chum,claude,codex-spark,temporal,0,"","2026-02-21 06:31:22","2026-02-21 06:31:22",completed,0,321.937688993,0,"","",979789,23450,0.0,"","","","",temporal,dispatched,"",0,,"",
1703,chum-td03,chum,codex,codex-spark,temporal,0,"","2026-02-21 22:10:45","2026-02-21 22:10:45",escalated,1,525.176172935,0,"","",733283,14316,0.0,"","","","",temporal,dispatched,"",0,,"",
1704,chum-td03,chum,codex,codex-spark,temporal,0,"","2026-02-21 22:23:59","2026-02-21 22:23:59",escalated,1,719.62646745,0,"","",985015,18622,0.0,"","","","",temporal,dispatched,"",0,,"",
1705,chum-td03,chum,codex,codex-spark,temporal,0,"","2026-02-21 22:40:42","2026-02-21 22:40:42",completed,0,881.67497348,0,"","",2160252,45595,0.0,"","","","",temporal,dispatched,"",0,,"",
1706,chum-td02,chum,codex,codex-spark,temporal,0,"","2026-02-21 22:41:07","2026-02-21 22:41:07",completed,0,546.470862355,0,"","",865457,17490,0.0,"","","","",temporal,dispatched,"",0,,"",
1707,chum-td01,chum,claude,codex-spark,temporal,0,"","2026-02-21 23:07:45","2026-02-21 23:07:45",completed,0,3224.715554801,0,"","",11626396,88623,0.0,"","","","",temporal,dispatched,"",0,,"",
1708,chum-td05,chum,claude,codex-spark,temporal,0,"","2026-02-21 23:37:09","2026-02-21 23:37:09",completed,0,549.315555686,0,"","",391598,18828,0.0,"","","","",temporal,dispatched,"",0,,"",
1709,chum-td04,chum,codex,codex-spark,temporal,0,"","2026-02-21 23:49:23","2026-02-21 23:49:23",completed,0,923.155705808,0,"","",144014,17126,0.0,"","","","",temporal,dispatched,"",0,,"",
1710,chum-td07,chum,claude,codex-spark,temporal,0,"","2026-02-22 00:52:17","2026-02-22 00:52:17",escalated,1,4697.463631146,0,"","",19263473,187844,0.0,"","","","",temporal,dispatched,"",0,,"",
1711,pokemon-skeleton,chum,claude,"",temporal,0,"","2026-02-22 03:39:23","2026-02-22 03:39:24",completed,0,849.301079466,0,"","",511026,50656,0.0,"","","","",temporal,dispatched,"",0,,"",
1712,pokemon-frontend,chum,claude,"",temporal,0,"","2026-02-22 04:42:19","2026-02-22 04:42:19",escalated,1,3564.381773432,0,"","",1060320,18967,0.0,"","","","",temporal,dispatched,"",0,,"",
1713,pokemon-pricing,chum,claude,"",temporal,0,"","2026-02-22 04:48:06","2026-02-22 04:48:06",escalated,1,3858.14149219,0,"","",1998952,31771,0.0,"","","","",temporal,dispatched,"",0,,"",
1714,pokemon-vision,chum,codex,"",temporal,0,"","2026-02-22 04:49:17","2026-02-22 04:49:17",escalated,1,3959.674436236,0,"","",1830942,96356,0.0,"","","","",temporal,dispatched,"",0,,"",
1715,chum-zdt-1,chum,codex,codex-spark,temporal,0,"","2026-02-22 06:26:50","2026-02-22 06:26:50",escalated,1,410.013142757,0,"","",1136626,24433,0.0,"","","","",temporal,dispatched,"",0,,"",
1716,chum-zdt-1,chum,codex,codex-spark,temporal,0,"","2026-02-22 06:34:36","2026-02-22 06:34:36",escalated,1,396.58381847,0,"","",1071777,25967,0.0,"","","","",temporal,dispatched,"",0,,"",
1717,chum-td07,chum,codex,codex-spark,temporal,0,"","2026-02-22 06:36:04","2026-02-22 06:36:04",escalated,1,844.278968003,0,"","",1350485,7056,0.0,"","","","",temporal,dispatched,"",0,,"",
1718,chum-td07,chum,codex,codex-spark,temporal,0,"","2026-02-22 07:12:17","2026-02-22 07:12:17",completed,0,377.03231359,0,"","",6252083,60606,0.0,"","","","",temporal,dispatched,"",0,,"",
1719,chum-zdt-1,chum,codex,codex-spark,temporal,0,"","2026-02-22 11:30:51","2026-02-22 11:30:51",completed,0,531.279633595,0,"","",969592,21040,0.0,"","","","",temporal,dispatched,"",0,,"",
1720,chum-td13,chum,codex,codex-spark,temporal,0,"","2026-02-22 13:27:19","2026-02-22 13:27:19",completed,0,1038.755335078,0,"","",4653422,44162,0.0,"","","","",temporal,dispatched,"",0,,"",
1725,chum-td14,chum,gemini,codex-spark,temporal,0,"","2026-02-22 16:32:37","2026-02-22 16:32:37",escalated,1,3263.154363477,0,"","",804879,9298,0.0,"","","","",temporal,dispatched,"",0,,"",
1782,chum-db-provider-genes,chum,gemini,gemini-pro,temporal,0,"","2026-02-23 09:24:41","2026-02-23 09:24:41",escalated,1,400.705267856,0,"","",11678,1359,0.0,"","","","",temporal,dispatched,"",0,,"",
1783,chum-db-provider-genes,chum,gemini,gemini-pro,temporal,0,"","2026-02-23 09:24:46","2026-02-23 09:24:46",escalated,1,284.356285316,0,"","",108992,8894,0.0,"","","","",temporal,dispatched,"",0,,"",
1787,chum-13b00b,chum,gemini,gemini-pro,temporal,0,"","2026-02-23 09:48:30","2026-02-23 09:48:30",escalated,1,748.831854645,0,"","",11958,1404,0.0,"","","","",temporal,dispatched,"",0,,"",
1788,chum-13b00b,chum,gemini,gemini-pro,temporal,0,"","2026-02-23 09:48:38","2026-02-23 09:48:38",escalated,1,877.955609297,0,"","",270392,28762,0.0,"","","","",temporal,dispatched,"",0,,"",
1789,chum-13b00b,chum,gemini,gemini-pro,temporal,0,"","2026-02-23 09:48:51","2026-02-23 09:48:51",escalated,1,528.703116754,0,"","",2579,1458,0.0,"","","","",temporal,dispatched,"",0,,"",
1790,chum-13b00b,chum,gemini,gemini-pro,temporal,0,"","2026-02-23 09:49:13","2026-02-23 09:49:13",escalated,1,432.965340091,0,"","",2579,1377,0.0,"","","","",temporal,dispatched,"",0,,"",
1791,chum-72d621,chum,gemini,gemini-pro,temporal,0,"","2026-02-23 09:49:29","2026-02-23 09:49:29",escalated,1,928.147268978,0,"","",11966,1470,0.0,"","","","",temporal,dispatched,"",0,,"",
1792,chum-f8d7f7,chum,gemini,codex-spark,temporal,0,"","2026-02-23 23:25:42","2026-02-23 23:25:42",escalated,1,220.380541117,0,"","",767751,11822,0.0,compile_error,"Triple DoD fail (go test + go vet + golangci-lint) — code does not compile","","",temporal,dispatched,"",0,,"",
